IDATK,NAME,TYPE,POWER,EFFECT,ACTIVATE,DICE
Absorb1,Absorb,GRASS,1,NONE,NONE,D6
Absorb2,Absorb,GRASS,2,NONE,NONE,D6
Acid2,Acid,POISON,2,Advantage,6,D6
AcidSpray2,"Acid Spray",POISON,2,TripleDisadvantage,0,D6
AArmor0,AcidArmor,POISON,0,TripleDisadvantage,0,D6
AAce2,"Aerial Ace",FLYING,2,Advantage,0,D6
ABlast3,"Aero Blast",FLYING,3,NONE,NONE,D8
AirCutter3,"Air Cutter",FLYING,3,NONE,NONE,D8
ASlash3E,"Air Slash",FLYING,3,Disadvantage,5,D6
ASlash3,"Air Slash",FLYING,3,NONE,NONE,D6
Amnesia0,Amnesia,PSYCHIC,0,TripleDisadvantage,0,D6
Apower2,Anc.Power,ROCK,2,AncPower,6,D6
Apower3,Anc.Power,ROCK,3,AncPower,6,D6
AquaJet2,"Aqua Jet",WATER,2,QuickAttack,0,D6
ATail2,"Aqua Tail",WATER,2,NONE,NONE,D6
ATail3,"Aqua Tail",WATER,3,NONE,NONE,D6
Assurance2,Assurance,DARK,2,Advantage,0,D6
Astonish1,Astonish,GHOST,1,Disadvantage,5,D6
Astonish2,Astonish,GHOST,2,Disadvantage,5,D6
AOrder3,"Attack Order ",BUG,3,NONE,NONE,D8
Asphere2,"Aura Sphere ",FIGHTING,2,Advantage,0,D6
ASphere3,"Aura Sphere ",FIGHTING,3,Advantage,0,D6
ABeam2,AuroraBeam,ICE,2,Disadvantage,6,D6
ABeam3,AuroraBeam,ICE,3,Disadvantage,6,D6
BabyDoll0,"Baby-Doll Eyes",FAIRY,0,Disadvantage,0,D6
Barrage1,Barrage,NORMAL,1,DoubleDice,4,D4
Barrier0,Barrier,PSYCHIC,0,TripleDisadvantage,0,D6
Bind1,Bind,NORMAL,1,DoubleDice,4,D4
Bite2,Bite,DARK,2,Disadvantage,5,D6
Bite2E,Bite,DARK,2,Disadvantage,6,D6
Bite3,Bite,DARK,3,Disadvantage,5,D6
BlazeKick2,"Blaze Kick",FIRE,2,Burn,6,D8
Blizzard3,Blizzard,ICE,3,Frozen,6,D6
Blizzard4,Blizzard,ICE,4,Frozen,6,D6
BSlam2,"Body Slam",NORMAL,2,Paralize,5,D6
BSlam3,"Body Slam",NORMAL,3,Paralize,5,D6
BClub3,BoneClub,GROUND,3,Disadvantage,6,D6
Bonemerang2,Bonemerang,GROUND,2,DoubleDice,4,D4
Bonemerang2E,Bonemerang,GROUND,2,DoubleDice,0,D4
Bounce3,Bounce,FLYING,3,Paralize,5,D6
BrickBreak3,"Brick Break",FIGHTING,3,BrickBreak,0,D4
Bubble2,Bubble,WATER,2,NONE,NONE,D6
BBeam3,"Bubble Beam",WATER,3,NONE,0,D6
BBite3,"Bug Bite",BUG,3,NONE,NONE,D6
BulletPunch1,"Bullet Punch",STEEL,1,QuickAttack,0,D6
BulletSeed1,"Bullet Seed",GRASS,1,DoubleDice,4,D4
Charge0,"Charge ",ELECTRIC,0,Disadvantage,0,D6
CBeam2,"Charge Beam",ELECTRIC,2,Advantage,3,D6
Charm0,Charm,FAIRY,0,TripleDisadvantage,0,D6
Clamp2,Clamp,WATER,2,DoubleDice,4,D4
