UID,POKEDEX,NAME,LEVEL,TYPE1,TYPE2,ATK1,ATK2,ATK3,NEXT_LEVEL,EVOLUTION,MEGA,GENERATION,TRAINNER,PREEVOLUCION
281962071607123,001,Bulbasaur,1,GRASS,POISON,ViWhip2,Tackle1,000,2,002,No,1,Starter,""
281962071593043,001,Bulbasaur,1,GRASS,POISON,ViWhip2,Tackle1,000,2,002,No,1,Starter,""
281962071592787,002,Ivysaur,3,GRASS,POISON,TaDown2,RaLeaf3,000,2,003,No,1,"Wild ",""
281962071604819,002,Ivysaur,3,GRASS,POISON,TaDown2,RaLeaf3,000,2,003,No,1,Evolution,""
281962091867475,002,Ivysaur,3,GRASS,POISON,TaDown2,RaLeaf3,000,2,003,No,1,Evolution,""
281962071592531,003,Venusaur,5,GRASS,POISON,DEgde3,SoBeam4,000,0,M003,Yes,1,"Wild ",""
281962071621203,003,Venusaur,5,GRASS,POISON,DEgde3,SoBeam4,000,0,M003,Yes,1,Evolution,""
281962071632211,003,Venusaur,5,GRASS,POISON,DEgde3,SoBeam4,000,0,M003,Yes,1,Evolution,""
281962071600979,003,Venusaur,5,GRASS,POISON,DEgde3,SoBeam4,000,0,M003,Yes,1,Evolution,""
M00001,M003,"Mega Venasaur",5,GRASS,POISON,SlBomb3,PeDance4,000,0,003,Yes,1,Mega,""
M00002,M003,"Mega Venasaur",5,GRASS,POISON,SlBomb3,PeDance4,000,0,003,Yes,1,Mega,""
281962071609683,004,Charmander,1,FIRE,NONE,Ember2,Scratch1,000,2,005,No,1,Starter,""
281962071587155,004,Charmander,1,FIRE,NONE,Ember2,Scratch1,000,2,005,No,1,Starter,""
281962071590483,005,Charmeleon,3,FIRE,NONE,Flamethrower3,Slash2,000,2,006,No,1,"Wild ",""
281962071615827,005,Charmeleon,3,FIRE,NONE,Flamethrower3,Slash2,000,2,006,No,1,Evolution,""
281962071598931,005,Charmeleon,3,FIRE,NONE,Flamethrower3,Slash2,000,2,006,No,1,Evolution,""
281962071593299,006,Charizard,5,FIRE,FLYING,FSpin4,WiAttack3,000,0,MX006,Yes,1,"Wild ",""
281962071621459,006,Charizard,5,FIRE,FLYING,FSpin4,WiAttack3,000,0,MX006,Yes,1,Evolution,""
281962071621971,006,Charizard,5,FIRE,FLYING,FSpin4,WiAttack3,000,0,MX006,Yes,1,Evolution,""
281962071601491,006,Charizard,5,FIRE,FLYING,FSpin4,WiAttack3,000,0,MX006,Yes,1,Evolution,""
M00003,MX006,"Mega Charizard X",5,FIRE,DRAGON,DClaw3,Inferno3,000,0,006,Yes,1,Mega,""
M00004,MX006,"Mega Charizard X",5,FIRE,DRAGON,DClaw3,Inferno3,000,0,006,Yes,1,Mega,""
M00005,MY006,"Mega Charizard Y",5,"FIRE ",FLYING,ASlash3,Inferno3,000,0,000,Yes,1,Mega,006
M00006,MY006,"Mega Charizard Y",5,"FIRE ",FLYING,ASlash3,Inferno3,000,0,000,Yes,1,Mega,006
281962071606867,007,Squirtle,1,WATER,NONE,Bubble2,Tackle1,000,2,008,No,1,Starter,""
281962071588691,007,Squirtle,1,WATER,NONE,Bubble2,Tackle1,000,2,008,No,1,Starter,""
281962071588435,008,Wartortle,3,WATER,NONE,WaPulse3,Bite2,000,2,009,No,1,"Wild ",""
281962071605075,008,Wartortle,3,WATER,NONE,WaPulse3,Bite2,000,2,009,No,1,Evolution,""
281962071598675,008,Wartortle,3,WATER,NONE,WaPulse3,Bite2,000,2,009,No,1,Evolution,""
281962071591251,009,Blastoise,5,WATER,NONE,HPump4,SkBash3,000,0,M009,Yes,1,"Wild ",""
281962071628115,009,Blastoise,5,WATER,NONE,HPump4,SkBash3,000,0,M009,Yes,1,Evolution,""
281962071619155,009,Blastoise,5,WATER,NONE,HPump4,SkBash3,000,0,M009,Yes,1,Evolution,""
281962071601235,009,Blastoise,5,WATER,NONE,HPump4,SkBash3,000,0,M009,Yes,1,Evolution,""
M00007,M009,"Mega Blastoise",5,WATER,NONE,FCannon3,Scald3,000,0,009,Yes,1,Mega,""
M00008,M009,"Mega Blastoise",5,WATER,NONE,FCannon3,Scald3,000,0,009,Yes,1,Mega,""
281961909373267,010,Caterpie,1,BUG,NONE,StShot0,Tackle1,000,1,011,No,1,"Wild ",""
281961909376083,011,Metapod,2,BUG,NONE,Harden0,Tackle1,000,1,012,No,1,"Wild ",""
281962071662163,011,Metapod,2,BUG,NONE,Harden0,Tackle1,000,1,012,No,1,Evolution,""
281962071590739,012,Butterfree,3,BUG,FLYING,Psybeam2,Gust2,000,0,000,No,1,"Wild ",""
281962071635539,012,Butterfree,3,BUG,FLYING,Psybeam2,Gust2,000,0,000,No,1,Evolution,""
281962071640147,012,Butterfree,3,BUG,FLYING,Psybeam2,Gust2,000,0,000,No,1,Evolution,""
281961909375571,013,Weedle,1,BUG,POISON,PoSting1,StShot0,000,1,014,No,1,"Wild ",""
281961931690579,014,Kakuna,2,BUG,POISON,PoSting1,Harden0,000,1,015,No,1,"Wild ",""
281962071664979,014,Kakuna,2,BUG,POISON,PoSting1,Harden0,000,1,015,No,1,Evolution,""
281962071590995,015,Beedrill,3,BUG,POISON,Twineedle1,PoJab3,000,0,M015,Yes,1,"Wild ",""
281962071640403,015,Beedrill,3,BUG,POISON,Twineedle1,PoJab3,000,0,M015,Yes,1,Evolution,""
281962071638099,015,Beedrill,3,BUG,POISON,Twineedle1,PoJab3,000,0,M015,Yes,1,Evolution,""
M00009,M015,"Mega Beedrill",3,BUG,POISON,PoJab3,X-Scissor3,000,0,015,Yes,1,Mega,""
M00010,M015,"Mega Beedrill",3,BUG,POISON,PoJab3,X-Scissor3,000,0,015,Yes,1,Mega,""
281961909375315,016,Pidgey,1,NORMAL,FLYING,SaAttack0,Gust2,000,2,017,No,1,"Wild ",""
281961909378131,017,Pidgeotto,3,NORMAL,FLYING,QAttack2,WiAttack3,000,2,018,No,1,"Wild ",""
281962071610963,017,Pidgeotto,3,NORMAL,FLYING,QAttack2,WiAttack3,000,2,018,No,1,Evolution,""
281962071647827,018,Pidgeot,5,NORMAL,FLYING,MMove0,ASlash3,000,0,M018,Yes,1,"Wild ",""
281962071656787,018,Pidgeot,5,NORMAL,FLYING,MMove0,ASlash3,000,0,M018,Yes,1,Evolution,""
281962071656531,018,Pidgeot,5,NORMAL,FLYING,MMove0,ASlash3,000,0,M018,Yes,1,Evolution,""
M00011,M018,"Mega Pidgeot",5,FLYING,NORMAL,StWing2,Hurricane4,000,0,018,Yes,1,Mega,""
